Target,R2,RMSE
voltage_fall_time_pulse2,0.9985759165690984,2.223389245925008e-10
voltage_fall_time_pulse1,0.9984806696137136,2.2996356528571111e-10
current_fall_time_pulse2,0.9970480957816962,5.502547240300635e-10
current_fall_time_pulse1,0.9967923292041625,5.748204492559185e-10
ringing_frequency_MHz,0.9908093639140814,1.914749460550542e-06
overshoot_pulse_1,0.980332282038928,2.165374985180517
voltage_rise_time_pulse1,0.9767906720279926,6.051881989024997e-10
undershoot_pulse_2,0.9698393929269864,1.9911837249710755
undershoot_pulse_1,0.9657695931869542,2.150018689984146
current_rise_time_pulse2,0.9588488810419561,6.39564290797743e-09
overshoot_pulse_2,0.9189940791420557,6.488558899426433
voltage_rise_time_pulse2,0.8810752333487758,1.6763735157194187e-09
current_rise_time_pulse1,0.7243125877452639,1.4125211849755263e-08
