Target,R2,RMSE
voltage_fall_time_pulse2,0.9992143990697534,1.65138668469871e-10
voltage_fall_time_pulse1,0.9992112069007413,1.656969340555437e-10
current_fall_time_pulse2,0.9986193837081183,3.7631293440354106e-10
current_fall_time_pulse1,0.998473889682468,3.9648821120185117e-10
ringing_frequency_MHz,0.9981876360255146,8.502798382312882e-07
voltage_rise_time_pulse1,0.9914238149608464,3.678800521000412e-10
overshoot_pulse_1,0.9871093116499297,1.7530495190963482
undershoot_pulse_2,0.9761921788633366,1.769094857467338
undershoot_pulse_1,0.9738685342179915,1.878529807070843
current_rise_time_pulse2,0.9670894689769175,5.719536397081479e-09
overshoot_pulse_2,0.9250200420714298,6.242556270704565
voltage_rise_time_pulse2,0.9072202219048235,1.4806803118806191e-09
current_rise_time_pulse1,0.7463010103355088,1.355020515005624e-08
